title,slug,link,match_title,match_year,seen
Murmur of the Heart (1971),murmur-of-the-heart,https://letterboxd.com/film/murmur-of-the-heart/,murmur of the heart,1971,True
Klute (1971),klute,https://letterboxd.com/film/klute/,klute,1971,True
McCabe & Mrs. Miller (1971),mccabe-mrs-miller,https://letterboxd.com/film/mccabe-mrs-miller/,mccabe & mrs. miller,1971,True
Shaft (1971),shaft,https://letterboxd.com/film/shaft/,shaft,1971,True
The Devils (1971),the-devils,https://letterboxd.com/film/the-devils/,the devils,1971,True
The Hired Hand (1971),the-hired-hand,https://letterboxd.com/film/the-hired-hand/,the hired hand,1971,True
The Last Picture Show (1971),the-last-picture-show,https://letterboxd.com/film/the-last-picture-show/,the last picture show,1971,True
The French Connection (1971),the-french-connection,https://letterboxd.com/film/the-french-connection/,the french connection,1971,True
A Clockwork Orange (1971),a-clockwork-orange,https://letterboxd.com/film/a-clockwork-orange/,a clockwork orange,1971,True
Harold and Maude (1971),harold-and-maude,https://letterboxd.com/film/harold-and-maude/,harold and maude,1971,True
Dirty Harry (1971),dirty-harry,https://letterboxd.com/film/dirty-harry/,dirty harry,1971,True
Cabaret (1972),cabaret,https://letterboxd.com/film/cabaret/,cabaret,1972,True
The Godfather (1972),the-godfather,https://letterboxd.com/film/the-godfather/,the godfather,1972,True
Frenzy (1972),frenzy,https://letterboxd.com/film/frenzy/,frenzy,1972,True
Fat City (1972),fat-city,https://letterboxd.com/film/fat-city/,fat city,1972,True
Deliverance (1972),deliverance,https://letterboxd.com/film/deliverance/,deliverance,1972,True
Last Tango in Paris (1972),last-tango-in-paris,https://letterboxd.com/film/last-tango-in-paris/,last tango in paris,1972,True
Sleuth (1972),sleuth,https://letterboxd.com/film/sleuth/,sleuth,1972,True
Cries and Whispers (1972),cries-and-whispers,https://letterboxd.com/film/cries-and-whispers/,cries and whispers,1972,True
"Aguirre, the Wrath of God (1972)",aguirre-the-wrath-of-god,https://letterboxd.com/film/aguirre-the-wrath-of-god/,"aguirre, the wrath of god",1972,True
The Long Goodbye (1973),the-long-goodbye,https://letterboxd.com/film/the-long-goodbye/,the long goodbye,1973,True
High Plains Drifter (1973),high-plains-drifter,https://letterboxd.com/film/high-plains-drifter/,high plains drifter,1973,True
Fantastic Planet (1973),fantastic-planet,https://letterboxd.com/film/fantastic-planet/,fantastic planet,1973,True
Pat Garrett & Billy the Kid (1973),pat-garrett-billy-the-kid,https://letterboxd.com/film/pat-garrett-billy-the-kid/,pat garrett & billy the kid,1973,True
American Graffiti (1973),american-graffiti,https://letterboxd.com/film/american-graffiti/,american graffiti,1973,True
Enter the Dragon (1973),enter-the-dragon,https://letterboxd.com/film/enter-the-dragon/,enter the dragon,1973,True
Mean Streets (1973),mean-streets,https://letterboxd.com/film/mean-streets/,mean streets,1973,True
The Wicker Man (1973),the-wicker-man,https://letterboxd.com/film/the-wicker-man/,the wicker man,1973,True
Don't Look Now (1973),dont-look-now,https://letterboxd.com/film/dont-look-now/,don't look now,1973,True
Serpico (1973),serpico,https://letterboxd.com/film/serpico/,serpico,1973,True
Amarcord (1973),amarcord,https://letterboxd.com/film/amarcord/,amarcord,1973,True
Sleeper (1973),sleeper,https://letterboxd.com/film/sleeper/,sleeper,1973,True
The Sting (1973),the-sting,https://letterboxd.com/film/the-sting/,the sting,1973,True
The Exorcist (1973),the-exorcist,https://letterboxd.com/film/the-exorcist/,the exorcist,1973,True
Blazing Saddles (1974),blazing-saddles,https://letterboxd.com/film/blazing-saddles/,blazing saddles,1974,True
Ali: Fear Eats the Soul (1974),ali-fear-eats-the-soul,https://letterboxd.com/film/ali-fear-eats-the-soul/,ali: fear eats the soul,1974,True
The Conversation (1974),the-conversation,https://letterboxd.com/film/the-conversation/,the conversation,1974,True
Chinatown (1974),chinatown,https://letterboxd.com/film/chinatown/,chinatown,1974,True
Bring Me the Head of Alfredo Garcia (1974),bring-me-the-head-of-alfredo-garcia,https://letterboxd.com/film/bring-me-the-head-of-alfredo-garcia/,bring me the head of alfredo garcia,1974,True
The Texas Chain Saw Massacre (1974),the-texas-chain-saw-massacre,https://letterboxd.com/film/the-texas-chain-saw-massacre/,the texas chain saw massacre,1974,True
The Towering Inferno (1974),the-towering-inferno,https://letterboxd.com/film/the-towering-inferno/,the towering inferno,1974,True
Young Frankenstein (1974),young-frankenstein,https://letterboxd.com/film/young-frankenstein/,young frankenstein,1974,True
The Godfather Part II (1974),the-godfather-part-ii,https://letterboxd.com/film/the-godfather-part-ii/,the godfather part ii,1974,True
Monty Python and the Holy Grail (1975),monty-python-and-the-holy-grail,https://letterboxd.com/film/monty-python-and-the-holy-grail/,monty python and the holy grail,1975,True
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles (1975)",jeanne-dielman-23-quai-du-commerce-1080-bruxelles,https://letterboxd.com/film/jeanne-dielman-23-quai-du-commerce-1080-bruxelles/,"jeanne dielman, 23, quai du commerce, 1080 bruxelles",1975,True
Nashville (1975),nashville,https://letterboxd.com/film/nashville/,nashville,1975,True
Jaws (1975),jaws,https://letterboxd.com/film/jaws/,jaws,1975,True
Picnic at Hanging Rock (1975),picnic-at-hanging-rock,https://letterboxd.com/film/picnic-at-hanging-rock/,picnic at hanging rock,1975,True
Dog Day Afternoon (1975),dog-day-afternoon,https://letterboxd.com/film/dog-day-afternoon/,dog day afternoon,1975,True
The Rocky Horror Picture Show (1975),the-rocky-horror-picture-show,https://letterboxd.com/film/the-rocky-horror-picture-show/,the rocky horror picture show,1975,True
One Flew Over the Cuckoo's Nest (1975),one-flew-over-the-cuckoos-nest,https://letterboxd.com/film/one-flew-over-the-cuckoos-nest/,one flew over the cuckoo's nest,1975,True
"Salò, or the 120 Days of Sodom (1975)",salo-or-the-120-days-of-sodom,https://letterboxd.com/film/salo-or-the-120-days-of-sodom/,"salò, or the 120 days of sodom",1975,True
Barry Lyndon (1975),barry-lyndon,https://letterboxd.com/film/barry-lyndon/,barry lyndon,1975,True
Cria! (1976),cria,https://letterboxd.com/film/cria/,cria!,1976,True
Taxi Driver (1976),taxi-driver,https://letterboxd.com/film/taxi-driver/,taxi driver,1976,True
