title,slug,link,match_title,match_year,seen
Satyricon (1969),satyricon-1969,https://letterboxd.com/film/satyricon-1969/,satyricon,1969,False
The Color of Pomegranates (1969),the-color-of-pomegranates,https://letterboxd.com/film/the-color-of-pomegranates/,the color of pomegranates,1969,False
Kes (1969),kes,https://letterboxd.com/film/kes/,kes,1969,False
The Ear (1970),the-ear,https://letterboxd.com/film/the-ear/,the ear,1970,False
Patton (1970),patton,https://letterboxd.com/film/patton/,patton,1970,False
Woodstock (1970),woodstock,https://letterboxd.com/film/woodstock/,woodstock,1970,False
Wanda (1970),wanda,https://letterboxd.com/film/wanda/,wanda,1970,False
The Spider's Stratagem (1970),the-spiders-stratagem,https://letterboxd.com/film/the-spiders-stratagem/,the spider's stratagem,1970,False
Deep End (1970),deep-end,https://letterboxd.com/film/deep-end/,deep end,1970,False
The Garden of the Finzi-Continis (1970),the-garden-of-the-finzi-continis,https://letterboxd.com/film/the-garden-of-the-finzi-continis/,the garden of the finzi-continis,1970,False
How the Cossacks Played Football (1970),how-the-cossacks-played-football,https://letterboxd.com/film/how-the-cossacks-played-football/,how the cossacks played football,1970,False
Sweet Sweetback's Baadasssss Song (1971),sweet-sweetbacks-baadasssss-song,https://letterboxd.com/film/sweet-sweetbacks-baadasssss-song/,sweet sweetback's baadasssss song,1971,False
WR: Mysteries of the Organism (1971),wr-mysteries-of-the-organism,https://letterboxd.com/film/wr-mysteries-of-the-organism/,wr: mysteries of the organism,1971,False
Willy Wonka & the Chocolate Factory (1971),willy-wonka-the-chocolate-factory,https://letterboxd.com/film/willy-wonka-the-chocolate-factory/,willy wonka & the chocolate factory,1971,False
Walkabout (1971),walkabout,https://letterboxd.com/film/walkabout/,walkabout,1971,False
Two-Lane Blacktop (1971),two-lane-blacktop,https://letterboxd.com/film/two-lane-blacktop/,two-lane blacktop,1971,False
Wake in Fright (1971),wake-in-fright,https://letterboxd.com/film/wake-in-fright/,wake in fright,1971,False
Straw Dogs (1971),straw-dogs,https://letterboxd.com/film/straw-dogs/,straw dogs,1971,False
Red Psalm (1972),red-psalm,https://letterboxd.com/film/red-psalm/,red psalm,1972,False
Pink Flamingos (1972),pink-flamingos,https://letterboxd.com/film/pink-flamingos/,pink flamingos,1972,False
Solaris (1972),solaris,https://letterboxd.com/film/solaris/,solaris,1972,False
The Harder They Come (1972),the-harder-they-come,https://letterboxd.com/film/the-harder-they-come/,the harder they come,1972,False
The Bitter Tears of Petra von Kant (1972),the-bitter-tears-of-petra-von-kant,https://letterboxd.com/film/the-bitter-tears-of-petra-von-kant/,the bitter tears of petra von kant,1972,False
Super Fly (1972),super-fly,https://letterboxd.com/film/super-fly/,super fly,1972,False
The Discreet Charm of the Bourgeoisie (1972),the-discreet-charm-of-the-bourgeoisie,https://letterboxd.com/film/the-discreet-charm-of-the-bourgeoisie/,the discreet charm of the bourgeoisie,1972,False
The Heartbreak Kid (1972),the-heartbreak-kid-1972,https://letterboxd.com/film/the-heartbreak-kid-1972/,the heartbreak kid,1972,False
The Lost Letter (1972),the-lost-letter-1972,https://letterboxd.com/film/the-lost-letter-1972/,the lost letter,1972,False
Turkish Delight (1973),turkish-delight,https://letterboxd.com/film/turkish-delight/,turkish delight,1973,False
The Mother and the Whore (1973),the-mother-and-the-whore,https://letterboxd.com/film/the-mother-and-the-whore/,the mother and the whore,1973,False
Day for Night (1973),day-for-night,https://letterboxd.com/film/day-for-night/,day for night,1973,False
F for Fake (1973),f-for-fake,https://letterboxd.com/film/f-for-fake/,f for fake,1973,False
The Spirit of the Beehive (1973),the-spirit-of-the-beehive,https://letterboxd.com/film/the-spirit-of-the-beehive/,the spirit of the beehive,1973,False
Badlands (1973),badlands,https://letterboxd.com/film/badlands/,badlands,1973,False
